node-0.12.9.log,node-4.2.0.log,node-4.3.0.log,node-5.5.0.log,node-5.6.0.log,112,130,119,137,117
62,25,18,23,21
53,26,19,17,19
59,15,16,15,20
60,15,16,12,13
59,15,13,22,22
65,24,16,17,12
59,29,19,19,13
59,24,15,12,20
61,51,19,19,18
59,16,19,13,13
59,13,19,12,20
62,27,19,13,14
62,13,25,18,14
57,22,38,21,13
55,26,17,11,13
86,26,19,23,21
53,29,20,23,13
61,14,15,12,20
59,16,63,16,43
63,14,19,14,13
61,12,21,22,12
59,12,13,22,14
62,26,19,12,18
62,11,19,12,18
63,23,13,22,12
55,14,18,14,18
55,14,18,18,13
63,13,19,18,16
56,26,12,14,13
56,17,18,13,20
64,13,18,14,13
51,12,17,19,19
60,14,11,13,12
65,14,12,14,13
62,14,20,14,20
62,12,12,14,12
58,11,13,13,12
65,13,18,17,12
61,14,15,13,19
59,13,12,13,15
60,15,18,15,69
56,26,23,16,26
57,21,21,20,55
55,13,15,19,35
69,13,13,14,22
60,46,12,13,34
67,14,18,12,22
65,14,16,12,23
,15,11,14,13
,23,18,14,24
,23,12,13,12
,16,12,15,13
,12,19,15,36
,14,13,14,25
,12,13,14,13
,12,21,12,27
,25,12,14,24
,12,12,15,23
,13,18,14,14
,66,15,17,25
,22,12,12,12
,19,15,15,75
,23,14,16,29
,24,17,16,42
,26,19,21,64
,21,13,14,52
,19,14,12,30
,21,12,13,28
,14,12,17,26
,23,12,15,17
,21,13,12,26
,19,12,11,18
,26,14,15,35
,11,12,12,50
,23,16,15,23
,16,20,23,31
,12,12,12,25
,12,17,15,22
,22,57,21,16
,12,22,13,14
,14,12,13,18
,13,14,12,89
,23,15,23,36
,22,14,15,33
,15,15,15,29
,15,16,61,16
,13,20,18,17
,13,14,18,24
,14,13,21,18
,60,15,12,25
,17,14,18,16
,13,16,13,26
,12,15,17,16
,13,14,13,17
,14,12,18,17
,12,20,19,15
,13,12,18,26
,15,16,16,20
,12,13,12,53
,14,15,18,61
,12,12,21,20
,13,12,19,18
,13,14,17,19
,11,14,13,62
,13,14,12,71
,12,14,13,35
,13,14,12,21
,17,12,13,20
,12,14,19,18
,11,14,12,13
,23,12,12,22
,13,12,11,12
,12,14,18,20
,13,,19,20
,13,,13,12
,,,12,19
,,,13,15
,,,12,12
,,,19,14
,,,12,19
,,,12,12
,,,13,12
,,,13,19
,,,12,66
,,,13,55
,,,13,21
,,,17,24
,,,20,14
,,,22,24
,,,20,19
,,,32,31
,,,17,18
,,,11,14
,,,11,15
,,,12,12
,,,11,16
,,,12,11
,,,13,16
,,,14,14
,,,16,14
,,,13,12
,,,11,25
,,,13,12
,,,12,14
,,,11,11
,,,59,15
,,,26,11
,,,18,20
,,,19,13
,,,20,14
,,,19,13
,,,18,14
,,,18,14
,,,18,12
,,,13,14
,,,11,15
,,,13,12
,,,18,12
,,,12,61
,,,19,16
,,,20,16
,,,17,13
,,,17,18
,,,17,18
,,,19,17
,,,20,18
,,,13,29
,,,17,19
,,,12,15
,,,12,17
,,,12,15
,,,12,16
,,,12,14
,,,11,15
,,,13,26
,,,13,18
,,,17,17
,,,13,16
,,,17,19
,,,13,18
,,,14,17
,,,11,21
,,,12,
,,,12,
,,,12,
,,,17,
,,,12,
,,,12,
,,,11,
,,,12,
,,,13,
,,,13,
,,,14,
,,,14,
,,,14,
,,,21,
,,,15,
,,,11,
,,,14,
,,,11,
,,,19,
,,,12,
,,,12,
,,,12,
,,,58,
,,,12,
,,,14,
,,,16,
,,,15,
,,,13,
,,,14,
,,,15,
,,,11,
,,,12,
,,,14,
,,,18,
,,,13,
,,,14,
,,,14,
,,,15,
,,,12,
,,,13,
,,,14,
,,,14,
,,,13,
,,,14,
,,,12,
,,,14,
,,,12,
,,,13,
,,,15,
,,,14,
,,,12,
,,,15,
,,,15,
,,,13,
,,,14,
,,,15,
,,,17,
,,,15,
,,,65,
,,,51,
